Prime,Semantics,Contrast,Condition,MeanAffectivity
Steve jumped on the dog,Negative sentence,50,New,-2.311111111
The car dragged Claire,Negative sentence,50,New,-4.627906977
John kicked the baby,Negative sentence,50,New,-4.522727273
Mum hit the baby,Negative sentence,50,New,-4.195121951
The lawnmower chewed the kitten,Negative sentence,50,New,-4.744186047
The ball hit Sam,Negative sentence,50,New,-2.644444444
The paper cut Andy,Negative sentence,50,New,-2.022727273
The male was a pig,Negative sentence,50,New,-2.23255814
The actor shot the photographer,Negative sentence,50,New,-3.911111111
Claire went over the bridge,Negative sentence,50,New,-1
The attacker followed the journalist,Negative sentence,50,New,-4.023255814
The hunter outwitted the bunny,Negative sentence,50,New,-1.386363636
The terrorists captured the soldiers,Negative sentence,50,New,-4.317073171
Sally licked the cat,Negative sentence,50,New,-1.048780488
The fish ate the people,Negative sentence,50,New,-3.933333333
The dog scared the child,Negative sentence,50,New,-2.80952381
The washer spun the child,Negative sentence,50,New,-3.536585366
The criminal tackled the policeman,Negative sentence,50,New,-3.840909091
The snake ate the man,Negative sentence,50,New,-4.511627907
root canal,Negative phrase,50,Sklar,-3.511111111
skinhead,Negative phrase,50,Sklar,-3.285714286
concentration camp,Negative phrase,50,Sklar,-4.395348837
overdose,Negative phrase,50,Sklar,-3.833333333
vegetative state,Negative phrase,50,Sklar,-3.465116279
foot fungus,Negative phrase,50,Sklar,-3.488372093
weak knees,Negative phrase,50,Sklar,-2.255813953
black eye,Negative phrase,50,Sklar,-2.860465116
bad breath,Negative phrase,50,Sklar,-2.933333333
stomach pump,Negative phrase,50,Sklar,-3
water boarding,Negative phrase,50,New,-3.139534884
runny nose,Negative phrase,50,New,-2.325581395
cow pat,Negative phrase,50,New,-1.090909091
missing teeth,Negative phrase,50,New,-2.790697674
spotty face,Negative phrase,50,New,-1.840909091
computer bug,Negative phrase,50,New,-2.731707317
kidnap,Negative phrase,50,New,-4.302325581
frost bite,Negative phrase,50,New,-3.534883721
black head,Negative phrase,50,New,-1.952380952
upside-down car,Negative phrase,50,Sklar,-2.840909091
dentist drill,Negative phrase,50,New,-2.545454545
electric chair,Negative phrase,50,Sklar,-3.813953488
facial hair,Negative phrase,50,Sklar,-0.136363636
human trafficking,Negative phrase,50,Sklar,-4.658536585
ארגז חול,Hebrew,50,Sklar_Hebrew_neutral,1.65
ארון בגדים,Hebrew,50,Sklar_Hebrew_neutral,2.05
בן-כלבה,Hebrew,50,Sklar_Hebrew_negative,-2
בניין דירות,Hebrew,50,Sklar_Hebrew_neutral,0.2
גג-רעפים,Hebrew,50,Sklar_Hebrew_neutral,1.15
גלגל שיניים,Hebrew,50,Sklar_Hebrew_neutral,-0.2
דלת כניסה,Hebrew,50,Sklar_Hebrew_neutral,1.05
דף שורות,Hebrew,50,Sklar_Hebrew_neutral,0.85
חולצה מגוהצת,Hebrew,50,Sklar_Hebrew_neutral,1.9
טיפול שורש,Hebrew,50,Sklar_Hebrew_negative,-2.68
ידית אחיזה,Hebrew,50,Sklar_Hebrew_neutral,0.4
יתד בעין,Hebrew,50,Sklar_Hebrew_negative,-4.15
כיסא חשמלי,Hebrew,50,Sklar_Hebrew_negative,-3.75
ליל הבדולח,Hebrew,50,Sklar_Hebrew_negative,-3.11
לקפוץ מהגג,Hebrew,50,Sklar_Hebrew_negative,-2.7
מגולח ראש,Hebrew,50,Sklar_Hebrew_negative,-2.15
מגרש חנייה,Hebrew,50,Sklar_Hebrew_neutral,0.2
מהדק נייר,Hebrew,50,Sklar_Hebrew_neutral,0.95
מוט הילוכים,Hebrew,50,Sklar_Hebrew_neutral,-0.1
מחנה ריכוז,Hebrew,50,Sklar_Hebrew_negative,-4.35
מנוחת עולמים,Hebrew,50,Sklar_Hebrew_negative,-3.1
מנחת מסוקים,Hebrew,50,Sklar_Hebrew_neutral,0.35
מנת יתר,Hebrew,50,Sklar_Hebrew_negative,-3.54
מסך מחשב,Hebrew,50,Sklar_Hebrew_neutral,0.75
מעבר חצייה,Hebrew,50,Sklar_Hebrew_neutral,0.65
מצב צמח,Hebrew,50,Sklar_Hebrew_negative,-3.85
נרדם בנהיגה,Hebrew,50,Sklar_Hebrew_negative,-3.85
סבון גוף,Hebrew,50,Sklar_Hebrew_neutral,1.95
סוף העולם,Hebrew,50,Sklar_Hebrew_negative,-2.25
סחר בנשים,Hebrew,50,Sklar_Hebrew_negative,-4.1
פיטריות ברגליים,Hebrew,50,Sklar_Hebrew_negative,-3.35
פיק ברכיים,Hebrew,50,Sklar_Hebrew_negative,-1.74
פנס בעין,Hebrew,50,Sklar_Hebrew_negative,2.25
פסי האטה,Hebrew,50,Sklar_Hebrew_neutral,0.1
ריח מהפה,Hebrew,50,Sklar_Hebrew_negative,-3.45
רכב הפוך,Hebrew,50,Sklar_Hebrew_negative,-3.55
שטיפת קיבה,Hebrew,50,Sklar_Hebrew_negative,-2.55
שיער פנים,Hebrew,50,Sklar_Hebrew_negative,-2.05
שמשה קדמית,Hebrew,50,Sklar_Hebrew_neutral,-0.3
שרפרף מעץ,Hebrew,50,Sklar_Hebrew_neutral,0.35
תיבת דואר,Hebrew,50,Sklar_Hebrew_neutral,0.3
תינוק בתנור,Hebrew,50,Sklar_Hebrew_negative,-4.7
תיק גב,Hebrew,50,Sklar_Hebrew_neutral,0.85
תיקרה גבוהה,Hebrew,50,Sklar_Hebrew_neutral,1.45
תשעה באב,Hebrew,50,Sklar_Hebrew_negative,-2.15
ארגז חול,Hebrew,80,Sklar_Hebrew_neutral,1.65
ארון בגדים,Hebrew,80,Sklar_Hebrew_neutral,2.05
בן-כלבה,Hebrew,80,Sklar_Hebrew_negative,-2
בניין דירות,Hebrew,80,Sklar_Hebrew_neutral,0.2
גג-רעפים,Hebrew,80,Sklar_Hebrew_neutral,1.15
גלגל שיניים,Hebrew,80,Sklar_Hebrew_neutral,-0.2
דלת כניסה,Hebrew,80,Sklar_Hebrew_neutral,1.05
דף שורות,Hebrew,80,Sklar_Hebrew_neutral,0.85
חולצה מגוהצת,Hebrew,80,Sklar_Hebrew_neutral,1.9
טיפול שורש,Hebrew,80,Sklar_Hebrew_negative,-2.68
ידית אחיזה,Hebrew,80,Sklar_Hebrew_neutral,0.4
יתד בעין,Hebrew,80,Sklar_Hebrew_negative,-4.15
כיסא חשמלי,Hebrew,80,Sklar_Hebrew_negative,-3.75
ליל הבדולח,Hebrew,80,Sklar_Hebrew_negative,-3.11
לקפוץ מהגג,Hebrew,80,Sklar_Hebrew_negative,-2.7
מגולח ראש,Hebrew,80,Sklar_Hebrew_negative,-2.15
מגרש חנייה,Hebrew,80,Sklar_Hebrew_neutral,0.2
מהדק נייר,Hebrew,80,Sklar_Hebrew_neutral,0.95
מוט הילוכים,Hebrew,80,Sklar_Hebrew_neutral,-0.1
מחנה ריכוז,Hebrew,80,Sklar_Hebrew_negative,-4.35
מנוחת עולמים,Hebrew,80,Sklar_Hebrew_negative,-3.1
מנחת מסוקים,Hebrew,80,Sklar_Hebrew_neutral,0.35
מנת יתר,Hebrew,80,Sklar_Hebrew_negative,-3.54
מסך מחשב,Hebrew,80,Sklar_Hebrew_neutral,0.75
מעבר חצייה,Hebrew,80,Sklar_Hebrew_neutral,0.65
מצב צמח,Hebrew,80,Sklar_Hebrew_negative,-3.85
נרדם בנהיגה,Hebrew,80,Sklar_Hebrew_negative,-3.85
סבון גוף,Hebrew,80,Sklar_Hebrew_neutral,1.95
סוף העולם,Hebrew,80,Sklar_Hebrew_negative,-2.25
סחר בנשים,Hebrew,80,Sklar_Hebrew_negative,-4.1
פיטריות ברגליים,Hebrew,80,Sklar_Hebrew_negative,-3.35
פיק ברכיים,Hebrew,80,Sklar_Hebrew_negative,-1.74
פנס בעין,Hebrew,80,Sklar_Hebrew_negative,2.25
פסי האטה,Hebrew,80,Sklar_Hebrew_neutral,0.1
ריח מהפה,Hebrew,80,Sklar_Hebrew_negative,-3.45
רכב הפוך,Hebrew,80,Sklar_Hebrew_negative,-3.55
שטיפת קיבה,Hebrew,80,Sklar_Hebrew_negative,-2.55
שיער פנים,Hebrew,80,Sklar_Hebrew_negative,-2.05
שמשה קדמית,Hebrew,80,Sklar_Hebrew_neutral,-0.3
שרפרף מעץ,Hebrew,80,Sklar_Hebrew_neutral,0.35
תיבת דואר,Hebrew,80,Sklar_Hebrew_neutral,0.3
תינוק בתנור,Hebrew,80,Sklar_Hebrew_negative,-4.7
תיק גב,Hebrew,80,Sklar_Hebrew_neutral,0.85
תיקרה גבוהה,Hebrew,80,Sklar_Hebrew_neutral,1.45
תשעה באב,Hebrew,80,Sklar_Hebrew_negative,-2.15
